GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
craftsman-app,com.alibaba.craftsman.command.query,ATAMetricQryExe,37,0,0,0,9,0,3,0,3,0
craftsman-app,com.alibaba.craftsman.command.query,UserProfileGetQryExe,19,0,0,0,5,0,2,0,2,0
craftsman-app,com.alibaba.craftsman.command.query,UserProfileListQryExe,32,0,0,0,9,0,3,0,3,0
craftsman-app,com.alibaba.craftsman.service,UserProfileServiceImpl,28,0,0,0,6,0,6,0,6,0
craftsman-app,com.alibaba.craftsman.service,MetricsServiceImpl,48,0,0,0,10,0,10,0,10,0
craftsman-app,com.alibaba.craftsman.event.handler,MetricItemCreatedHandler,31,0,0,0,6,0,2,0,2,0
craftsman-app,com.alibaba.craftsman.command,CodeReviewMetricAddCmdExe,29,0,0,0,6,0,2,0,2,0
craftsman-app,com.alibaba.craftsman.command,SharingMetricAddCmdExe,37,0,0,0,7,0,2,0,2,0
craftsman-app,com.alibaba.craftsman.command,PaperMetricAddCmdExe,39,0,0,0,7,0,2,0,2,0
craftsman-app,com.alibaba.craftsman.command,PatentMetricAddCmdExe,37,0,0,0,7,0,2,0,2,0
craftsman-app,com.alibaba.craftsman.command,MiscMetricAddCmdExe,31,0,0,0,6,0,2,0,2,0
craftsman-app,com.alibaba.craftsman.command,RefreshScoreCmdExe,130,0,0,0,33,0,11,0,11,0
craftsman-app,com.alibaba.craftsman.command,ATAMetricAddCmdExe,31,0,0,0,6,0,2,0,2,0
craftsman-app,com.alibaba.craftsman.command,UserProfileAddCmdExe,13,0,0,0,4,0,2,0,2,0
craftsman-app,com.alibaba.craftsman.command,UserProfileUpdateCmdExe,13,0,0,0,4,0,2,0,2,0
craftsman-app,com.alibaba.craftsman.command,MetricDeleteCmdExe,13,0,0,0,3,0,2,0,2,0
craftsman-app,com.alibaba.craftsman.command,RefactoringMetricAddCmdExe,37,0,0,0,7,0,2,0,2,0
