GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
craftsman-domain,com.alibaba.craftsman.domain.metrics.techinfluence,InfluenceMetric,214,12,38,0,6,5,32,1,13,1
craftsman-domain,com.alibaba.craftsman.domain.metrics.techinfluence,ATAMetricItem,139,321,25,21,0,45,21,29,2,25
craftsman-domain,com.alibaba.craftsman.domain.metrics.techinfluence,SharingMetric,6,18,0,0,3,6,1,2,1,2
craftsman-domain,com.alibaba.craftsman.domain.metrics.techinfluence,AuthorType,0,42,0,0,0,8,0,3,0,3
craftsman-domain,com.alibaba.craftsman.domain.metrics.techinfluence,PaperMetricItem,234,0,38,0,15,0,35,0,16,0
craftsman-domain,com.alibaba.craftsman.domain.metrics.techinfluence,SharingScope,0,66,0,0,0,10,0,3,0,3
craftsman-domain,com.alibaba.craftsman.domain.metrics.techinfluence,ATAMetric,6,18,0,0,3,6,1,2,1,2
craftsman-domain,com.alibaba.craftsman.domain.metrics.techinfluence,PatentMetricItem,260,22,46,0,9,8,39,2,16,2
craftsman-domain,com.alibaba.craftsman.domain.metrics.techinfluence,SharingMetricItem,217,23,38,0,8,8,33,3,14,3
craftsman-domain,com.alibaba.craftsman.domain.metrics.techinfluence,PaperMetric,24,0,0,0,9,0,3,0,3,0
craftsman-domain,com.alibaba.craftsman.domain.metrics.techinfluence,PatentMetric,6,18,0,0,3,6,1,2,1,2
craftsman-domain,com.alibaba.craftsman.domain.metrics.techcontribution,RefactoringMetric,23,0,0,0,9,0,3,0,3,0
craftsman-domain,com.alibaba.craftsman.domain.metrics.techcontribution,ContributionMetric,187,0,30,0,11,0,28,0,13,0
craftsman-domain,com.alibaba.craftsman.domain.metrics.techcontribution,CodeReviewMetric,23,0,0,0,9,0,3,0,3,0
craftsman-domain,com.alibaba.craftsman.domain.metrics.techcontribution,MiscMetricItem,237,0,38,0,16,0,36,0,17,0
craftsman-domain,com.alibaba.craftsman.domain.metrics.techcontribution,MiscMetric,23,0,0,0,9,0,3,0,3,0
craftsman-domain,com.alibaba.craftsman.domain.metrics.techcontribution,RefactoringMetricItem,268,0,46,0,11,0,40,0,17,0
craftsman-domain,com.alibaba.craftsman.domain.metrics.techcontribution,RefactoringLevel,54,0,0,0,9,0,3,0,3,0
craftsman-domain,com.alibaba.craftsman.domain.metrics.techcontribution,CodeReviewMetricItem,166,0,24,0,9,0,26,0,14,0
craftsman-domain,com.alibaba.craftsman.domain.user,Role,45,0,0,0,7,0,2,0,2,0
craftsman-domain,com.alibaba.craftsman.domain.user,UserProfile,813,28,110,0,44,9,97,6,42,6
craftsman-domain,com.alibaba.craftsman.domain.metrics.devquality,BugMetric,21,0,2,0,7,0,4,0,3,0
craftsman-domain,com.alibaba.craftsman.domain.metrics.devquality,BugMetricItem,97,46,10,2,3,12,13,4,8,3
craftsman-domain,com.alibaba.craftsman.domain.metrics.devquality,DevQualityMetric,97,0,14,0,8,0,15,0,8,0
craftsman-domain,com.alibaba.craftsman.domain.metrics.appquality,AppQualityMetric,17,0,0,0,6,0,2,0,2,0
craftsman-domain,com.alibaba.craftsman.domain.metrics.appquality,AppMetric,7,20,1,1,2,7,2,2,1,2
craftsman-domain,com.alibaba.craftsman.domain.metrics.appquality,AppMetricItem,164,81,22,2,0,17,20,10,9,9
craftsman-domain,com.alibaba.craftsman.domain.metrics,JSONPropertyFilter,4,18,2,2,2,5,2,3,0,3
craftsman-domain,com.alibaba.craftsman.domain.metrics,SubMetricType,9,187,0,0,3,19,3,2,3,2
craftsman-domain,com.alibaba.craftsman.domain.metrics,MainMetricType,35,63,6,0,8,9,6,2,3,2
craftsman-domain,com.alibaba.craftsman.domain.metrics,MetricItem,119,37,22,0,2,8,18,4,7,4
craftsman-domain,com.alibaba.craftsman.domain.metrics,SubMetric,178,42,30,2,10,11,26,6,11,5
craftsman-domain,com.alibaba.craftsman.domain.metrics,MainMetric,131,38,22,2,4,10,21,4,10,3
craftsman-domain,com.alibaba.craftsman.domain.metrics,Metric,23,6,0,0,5,3,3,2,3,2
craftsman-domain,com.alibaba.craftsman.domain,DomainFactory,7,0,0,0,2,0,2,0,2,0
craftsman-domain,com.alibaba.craftsman.domain.metrics.weight,Weight,0,10,0,0,0,3,0,3,0,3
craftsman-domain,com.alibaba.craftsman.domain.metrics.weight,DevWeight,16,8,0,0,4,2,4,2,4,2
craftsman-domain,com.alibaba.craftsman.domain.metrics.weight,OtherWeight,16,0,0,0,6,0,6,0,6,0
craftsman-domain,com.alibaba.craftsman.domain.metrics.weight,QAWeight,16,8,0,0,4,2,4,2,4,2
craftsman-domain,com.alibaba.craftsman.domain.metrics.weight,WeightFactory,15,0,4,0,6,0,4,0,2,0
